1552,"['泡椒凤爪', '重庆特色油烧兔', '木须豌豆', '肉丁茄子']"
1221,"['小炒羊腰', '凉拌海带豆芽紫菜', '法国波尔多AOC干红葡萄酒原', '辣炒田螺', '宝宝版牛肉肠粉', '辣炒田螺', '凉拌蒜蓉西兰花', '白胡椒胡萝卜羊肉汤', '孜然羊排', '长城窖酿解百纳红酒干红葡萄酒', '哈尔滨啤酒罐装', '香辣腐乳炒虾', '冰糖红豆薏米粥', '肉丁茄子', '哈尔滨啤酒罐装', '五香酱驴肉']"
1185,"['38度剑南春 ', '爆炒猪肝', '豌豆薯仔猪骨汤', '宝宝版牛肉肠粉', '爆炒猪肝', '辣炒花蛤', '纸杯蛋糕', '长城窖酿解百纳红酒干红葡萄酒', '意文柠檬汁 ', '长城窖酿解百纳红酒干红葡萄酒', '50度古井贡酒', '水煮鱼', '凉拌海带豆芽紫菜', '芹菜炒腰花', '百里香奶油烤紅酒牛肉', '蒜蓉生蚝', '盘蟹蒸蛋', '五彩豆', '青炒扁豆', '三色凉拌手撕兔', '培根花菜', '红酒土豆烧鸭腿', '百里香奶油烤紅酒牛肉']"
1289,"['油焖麻辣虾', '宝宝版牛肉肠粉', '凉拌蒜蓉西兰花', '蒜香辣花甲', '桂圆枸杞鸽子汤', '香辣腐乳炒虾', '意文柠檬汁 ', '水煮鱼', '凉拌海带豆芽紫菜', '冰糖红豆薏米粥', '盘蟹蒸蛋', '肉丁茄子', '黄花菜炒木耳', '百里香奶油烤紅酒牛肉', '哈尔滨啤酒罐装']"
1391,"['老式面包', '孜然羊排', '桂圆枸杞鸽子汤', '宝宝版牛肉肠粉', '辣炒田螺', '蒜香辣花甲', '长城窖酿解百纳红酒干红葡萄酒', '香辣腐乳炒虾', '谷稻小庄 ', '香辣腐乳炒虾', '意文柠檬汁 ', '长城窖酿解百纳红酒干红葡萄酒', '凉拌海带豆芽紫菜', '清蒸蝶鱼', '百里香奶油烤紅酒牛肉', '盘蟹蒸蛋', '盘蟹蒸蛋', '木须豌豆', '芹菜炒腰花', '桂圆肉红豆八宝饭', '培根花菜', '哈尔滨啤酒罐装']"
1251,"['52度泸州老窖 ', '牛尾汤', '法国波尔多AOC干红葡萄酒原', '泡椒凤爪', '孜然羊排', '木须豌豆']"
1307,"['蛋挞', '桂圆枸杞鸽子汤', '超人气广式肠粉', '香辣腐乳炒虾', '玉竹南北杏鸭腿汤', '清蒸蝶鱼', '百里香奶油烤紅酒牛肉', '木须豌豆', '蒜蓉生蚝', '肉丁茄子', '谷稻小庄 ']"
1316,"['冰糖红豆薏米粥', '木须豌豆', '肉丁茄子', '百里香奶油烤紅酒牛肉']"
1215,"['小炒羊腰', '52度泸州老窖 ', '孜然羊排', '谷稻小庄 ', '老式面包', '姜葱炒花蟹', '青岛啤酒罐装', '宝宝版牛肉肠粉', '桂圆枸杞鸽子汤', '蒜香辣花甲', '长城窖酿解百纳红酒干红葡萄酒', '意文柠檬汁 ', '五彩豆', '玉竹南北杏鸭腿汤', '凉拌海带豆芽紫菜', '清蒸蝶鱼', '百里香奶油烤紅酒牛肉', '冰糖红豆薏米粥', '五彩豆', '芹黄鳝丝', '芹菜炒腰花', '盘蟹蒸蛋', '肉丁茄子', '肉丁茄子', '百里香奶油烤紅酒牛肉', '百里香奶油烤紅酒牛肉', '五香酱驴肉', '哈尔滨啤酒罐装']"
1597,"['法国波尔多AOC干红葡萄酒原', '蛋挞', '盘蟹蒸蛋', '青岛啤酒罐装', '辣炒田螺', '香辣腐乳炒虾', '长城窖酿解百纳红酒干红葡萄酒', '黄花菜炒木耳', '盘蟹蒸蛋', '百里香奶油烤紅酒牛肉']"
